index,start_sec,end_sec,duration_sec,rms_mean,rms_peak
1,1.49,2.0,0.51,0.11861889142276517,1.0
2,3.08,3.61,0.5299999999999998,0.06517438733954078,0.385101318359375
3,4.65,5.16,0.5099999999999998,0.0917146348875365,0.419189453125
4,6.21,6.83,0.6200000000000001,0.05704261290327438,0.35894775390625
5,8.31,8.7,0.3899999999999988,0.12810925886162763,0.982177734375
6,9.78,10.47,0.6900000000000013,0.05654815179601296,0.38372802734375
7,11.3,11.81,0.5099999999999998,0.08204005643200925,0.42657470703125
8,13.32,13.93,0.6099999999999994,0.08461340718696699,0.370513916015625
9,15.02,15.53,0.5099999999999998,0.10935758309334573,0.5811767578125
10,16.55,17.29,0.7399999999999984,0.06693933806842942,0.4515380859375
11,18.19,18.74,0.5499999999999972,0.06661261315233814,0.359405517578125
12,19.77,20.11,0.33999999999999986,0.05909893392814334,0.283966064453125
