rank,time_sec,total_energy,dominant_band_center_hz,dominant_band_label,dominant_band_energy
1,23.46875,46664.91786841877,410.0,390..430,31252.17383518599
2,27.86875,32325.119209560617,210.0,190..230,18734.39491577672
3,5.66875,20648.193768486177,250.0,230..270,8567.107637696818
4,12.36875,14263.521736921728,290.0,270..310,6993.188846434607
5,18.26875,7650.879954735104,370.0,350..390,1542.235433325237
6,13.36875,2295.23624706829,290.0,270..310,1618.6606571767334
